id,sum_pos,sum_neg,min_neg,max_pos,num_comments,has_images,has_code_snippets,merged
D-Programming-Language-phobos-4061,1,-1,-1,1,1,False,False,False
NodeBB-nodebb-theme-persona-347,2,-2,-2,2,1,False,False,True
sindresorhus-weechat-notification-center-5,1,-1,-1,1,1,True,False,False
BarasLab-miRge-9,1,-1,-1,1,1,False,False,False
apache-nifi-2094,2,-2,-2,2,1,False,False,False
golemfactory-concent-1047,1,-1,-1,1,1,False,False,True
ets-berkeley-edu-calcentral-4826,2,-1,-1,2,1,True,False,True
geli-lms-geli-891,0,-3,-3,0,1,False,False,True
smarthomeNG-plugins-7,1,-1,-1,1,1,False,False,False
Inria-Asclepios-medInria-public-267,1,-1,-1,1,1,True,False,True
adobe-photoshop-spaces-design-2056,1,0,0,1,1,False,False,True
Sage-Bionetworks-Bridge-Exporter-49,0,-1,-1,0,1,False,False,True
alphagov-govuk_elements-229,1,-1,-1,1,1,True,False,True
18F-identity-idp-618,1,-2,-2,1,1,False,False,True
almighty-almighty-core-1196,2,-1,-1,2,1,True,False,True
uw-midsun-firmware-179,1,-1,-1,1,1,False,False,True
lukesampson-scoop-extras-452,0,-3,-3,0,1,True,False,True
ethereum-solidity-4214,2,0,0,2,1,False,False,False
simonbyrne-InplaceOps.jl-9,2,-2,-2,2,1,True,False,True
apache-spark-on-k8s-spark-175,2,0,0,2,1,False,False,True
uber-cherami-server-44,1,-2,-2,1,1,False,False,True
MUSIT-Norway-musit-frontend-346,1,0,0,1,1,False,False,True
amatsuda-active_decorator-76,1,-2,-2,1,1,False,False,True
couchbase-couchbase-lite-android-1801,0,-3,-3,0,1,False,False,True
openzipkin-zipkin-599,0,-2,-2,0,1,False,False,True
dotnet-coreclr-1205,2,-1,-1,2,1,True,False,True
snollygolly-paw-wars-90,2,-2,-2,2,1,False,False,True
cosmos-voyager-749,1,-3,-3,1,1,True,False,True
numenta-nupic-3135,1,-1,-1,1,1,True,False,True
RegSimple-FrontEndRegSimple-99,1,-1,-1,1,1,True,False,True
GoogleCloudPlatform-gcloud-python-595,1,-1,-1,1,1,True,False,True
dsp-jetpack-JetPack-29,0,-2,-2,0,1,False,False,True
greenplum-db-gpdb-621,2,0,0,2,1,True,False,True
Chocobozzz-PeerTube-1252,1,-1,-1,1,1,True,False,True
cfpb-cfgov-refresh-464,2,-2,-2,2,1,False,False,True
alphagov-govuk-frontend-770,1,0,0,1,1,False,False,True
zcash-zcash-2940,1,-1,-1,1,1,True,False,True
JuliaLang-julia-22978,1,-2,-2,1,1,True,False,True
KissKissBankBank-kitten-1069,0,-2,-2,0,1,False,False,True
past-searchvolmodel-13,1,0,0,1,1,False,False,True
ParsePlatform-Parse-SDK-Android-52,0,-2,-2,0,1,False,False,True
rust-lang-nursery-rust-bindgen-956,2,-1,-1,2,1,False,False,True
HackYourFuture-Node.js-39,1,-1,-1,1,1,True,False,False
RoboCupULaval-StrategyAI-364,1,-2,-2,1,1,False,False,True
AusDTO-gov-au-beta-402,1,-1,-1,1,1,False,False,True
curoverse-arvados-workbench2-215,1,0,0,1,1,True,False,True
siso-vagrant-cheftdd-2,1,0,0,1,1,False,False,False
ripple-rippled-2589,2,-1,-1,2,1,True,False,False
ARMmbed-mbedtls-1513,1,-1,-1,1,1,False,False,True
CanalTP-navitia-1727,1,0,0,1,1,True,False,True
ManageIQ-manageiq-providers-vmware-191,2,0,0,2,1,True,False,True
guardian-frontend-12099,2,0,0,2,1,False,False,True
civicrm-civicrm-core-11050,2,-3,-3,2,1,True,False,True
matrix-org-matrix-doc-1636,1,-2,-2,1,1,False,False,True
Devex-spaceflight-64,1,-2,-2,1,1,False,False,True
flutter-flutter-7915,1,0,0,1,1,False,True,True
GoogleCloudPlatform-google-cloud-dotnet-654,3,-1,-1,3,1,True,False,True
kubernetes-kubernetes-60275,1,-1,-1,1,1,False,False,True
FriendsOfPHP-Sami-239,2,-2,-2,2,1,False,True,False
hpcugent-easybuild-easyconfigs-2414,1,0,0,1,1,False,False,True
apache-incubator-beam-859,1,-1,-1,1,1,True,False,False
brendanashworth-generate-password-14,1,-1,-1,1,1,True,False,True
robotology-yarp-1384,1,-2,-2,1,1,True,False,True
openshift-origin-14124,2,-2,-2,2,1,False,False,True
PolicyStat-ckeditor-spell-check-plugin-js-dev-edge-14,2,-1,-1,2,1,False,False,True
open-mpi-ompi-www-80,1,-1,-1,1,1,True,False,True
evolution-gaming-akka-http-documenteddsl-1,0,-2,-2,0,1,False,False,True
Ensembles-ert-1347,2,0,0,2,1,False,False,True
signmeup-signmeup-160,2,-1,-1,2,1,False,False,True
ceph-teuthology-511,2,-1,-1,2,1,False,False,True
ga-wdi-boston-ruby-vs-js-hash-dictionary-study-28,2,-2,-2,2,1,True,False,False
numenta-NAB-206,1,-1,-1,1,1,False,False,True
angular-material2-14012,0,-1,-1,0,1,False,False,True
PAXTabletop-library_mk5-1,2,-2,-2,2,1,False,False,True
opencypher-openCypher-79,0,-1,-1,0,1,False,False,True
puli-twig-extension-7,2,0,0,2,1,False,False,True
twitter-finagle-502,3,-1,-1,3,1,False,False,False
fastlane-fastlane-12128,2,-1,-1,2,1,False,False,True
jupyter-incubator-dashboards_server-143,1,-2,-2,1,1,False,False,True
ibm-watson-data-lab-ibmos2spark-28,2,-2,-2,2,1,False,False,True
algolia-autocomplete.js-86,0,-1,-1,0,1,False,False,True
StoDevX-AAO-React-Native-732,1,0,0,1,1,True,False,False
dotnet-corefx-17913,1,-2,-2,1,1,False,False,True
pentaho-pentaho-platform-plugin-common-ui-711,0,-1,-1,0,1,False,False,True
owncloud-core-19970,1,-1,-1,1,1,False,False,True
ScottLogic-StockFlux-458,2,-1,-1,2,1,False,True,True
analogdevicesinc-linux-233,0,-3,-3,0,1,False,True,True
Microsoft-vsts-tasks-3632,1,0,0,1,1,False,False,True
manshar-manshar-189,1,0,0,1,1,False,False,False
linagora-james-project-2016,1,-2,-2,1,1,True,False,False
melexis-sphinx-coverity-extension-5,1,-1,-1,1,1,True,False,True
SnappyDataInc-snappy-store-63,1,0,0,1,1,False,False,True
gonum-gonum-303,0,-1,-1,0,1,False,False,True
tgstation--tg-station-11848,1,-1,-1,1,1,False,False,True
wordpress-mobile-WordPress-iOS-8626,1,0,0,1,1,False,False,True
coryhouse-react-slingshot-475,3,0,0,3,1,False,False,True
fusor-fusor-799,1,-1,-1,1,1,True,False,True
naver-pinpoint-583,1,0,0,1,1,False,False,False
FreeOpcUa-python-opcua-515,1,-2,-2,1,1,False,False,True
folio-org-mod-orders-41,1,-1,-1,1,1,False,False,True
mozilla-services-syncstorage-rs-59,2,-2,-2,2,1,False,False,True
edx-edx-platform-15678,1,-1,-1,1,1,False,False,True
mysociety-alaveteli-4383,1,0,0,1,1,False,False,True
jschiarizzi-XforYgen-30,0,-1,-1,0,1,False,False,False
agrc-gis.utah.gov-572,2,0,0,2,1,False,False,True
rust-lang-crates.io-936,1,-2,-2,1,1,False,False,True
turingschool-examples-javascript-roman-numerals-26,1,0,0,1,1,False,False,False
chrishenry-deltanyc-heatseek-78,1,-2,-2,1,1,False,False,True
PX4-Devguide-491,1,0,0,1,1,False,False,True
pymc-devs-pymc3-2013,1,-1,-1,1,1,True,False,True
Asymmetrik-node-fhir-server-core-21,0,-2,-2,0,1,True,False,True
diku-dk-futhark-476,0,-3,-3,0,1,False,False,True
GeoscienceAustralia-GNSS-Site-Manager-466,1,0,0,1,1,False,False,True
NecronomiconCoding-NecroBot-907,2,-2,-2,2,1,True,True,True
BranchMetrics-Branch-iOS-SDK-128,1,0,0,1,1,False,False,True
opencypher-openCypher-42,1,0,0,1,1,False,False,True
bbatsov-rubocop-4069,0,-1,-1,0,1,False,False,True
florinpatrascu-bolt_sips-30,2,-2,-2,2,1,False,False,True
Azure-go-autorest-208,2,-2,-2,2,1,True,False,True
amazeeio-docs-12,2,-1,-1,2,1,False,False,False
eregs-regulations-site-230,1,-1,-1,1,1,False,False,True
realm-realm-java-5520,1,-1,-1,1,1,False,False,True
JuliaReach-ReachabilityBenchmarks-28,0,-1,-1,0,1,False,False,True
loot-fallout3-74,0,-1,-1,0,1,False,False,False
terraform-providers-terraform-provider-google-1071,3,-2,-2,3,1,False,False,True
deluge-torrent-deluge-151,1,0,0,1,1,False,False,False
habitat-sh-core-plans-506,1,-1,-1,1,1,False,False,True
thoughtbot-cocaine-97,2,-2,-2,2,1,True,False,False
sleuthkit-autopsy-4041,2,-2,-2,2,1,False,False,True
symphonyoss-SymphonyElectron-390,2,0,0,2,1,False,False,True
fcrepo4-exts-fcrepo-camel-toolbox-106,2,-1,-1,2,1,True,False,True
